domain,hid0*,hid1,hid3,hid5,exp hid1,exp hid3,exp hid5,relu,drop0.2,drop0.4,reg0.1¹*,reg1¹*,reg10¹*,init¹*,entire
probBLOCKS-12-0,100,100,100,100,1554,639,3238,100,100,100,0,0,0,15,100
probBLOCKS-14-0,100,100,100,100,1303,912,1584,100,100,100,0,0,0,0,35
probBLOCKS-15-0,100,100,100,100,37896,18944,54051,100,100,100,0,0,0,0,55
probBLOCKS-15-1,84.5,100,100,100,2583,28154,22171,100,100,100,0,0,0,0,40
probBLOCKS-16-1,79,100,100,99.5,8130,18770,92545,100,100,100,0,0,0,0,85
probBLOCKS-17-0,75.5,100,100,98.5,23142,84484,130192,99.5,100,100,0,0,0,0,25
,,,,,,,,,,,,,,,
blocks,89.83,100,100,99.7,14393,12435,50630,99.9,100,100,0,0,0,2.5,56.7
ferber,30.7,100,97.2,83.3,585,899,2122,100,95.7,90.9,0,0,0,0,81.6
